1637;761;-3.09519;13274487309558098706;2016-08-23 15:18:29.991776+00:00
1636;761;-2.76018;14655306382067340842;2016-08-23 15:18:30.323842+00:00
1612;749;-3.00602;11378978010748956961;2016-08-23 15:18:30.656030+00:00
1587;786;2.78955;14330950148288107053;2016-08-23 15:18:30.988328+00:00
1537;836;2.56783;13044474253675018853;2016-08-23 15:18:31.320560+00:00
1574;811;2.62388;16327951393305721632;2016-08-23 15:18:31.652622+00:00
1587;836;2.88179;9683923877500154033;2016-08-23 15:18:31.984827+00:00
1624;774;2.85714;16961124680763531433;2016-08-23 15:18:32.317038+00:00
1649;787;2.78134;12908507117704155481;2016-08-23 15:18:32.649178+00:00
1612;786;2.21466;10141404524567995196;2016-08-23 15:18:32.981553+00:00
1600;712;1.96947;12540484841393593181;2016-08-23 15:18:33.313827+00:00
1613;700;1.4796;12321951965181415187;2016-08-23 15:18:33.648797+00:00
1576;649;1.56101;18420962941448509646;2016-08-23 15:18:33.978176+00:00
1588;674;1.20914;11300143255588800168;2016-08-23 15:18:34.310332+00:00
1575;699;1.73755;13694013622262365016;2016-08-23 15:18:34.642546+00:00
1575;661;2.13406;17415151986556503199;2016-08-23 15:18:34.974740+00:00
1562;661;2.17332;14477306955670930169;2016-08-23 15:18:35.306931+00:00
1549;637;2.4741;9308592747863975096;2016-08-23 15:18:35.639115+00:00
1475;699;1.57422;18020020940114855475;2016-08-23 15:18:36.635790+00:00
1438;686;2.45285;12757456991199463612;2016-08-23 15:18:36.967962+00:00
1425;661;2.0687;13397418711551967767;2016-08-23 15:18:37.300163+00:00
1400;686;2.30835;12723670947954974408;2016-08-23 15:18:37.632391+00:00
1375;711;2.16394;11309806780106168595;2016-08-23 15:18:37.964721+00:00
1401;711;1.90867;15828093274634533561;2016-08-23 15:18:38.297878+00:00
1402;699;1.8765;14911568637968598905;2016-08-23 15:18:38.629971+00:00
1376;724;1.37331;15500820183762691200;2016-08-23 15:18:38.961635+00:00
1364;749;1.31638;12738731782328433890;2016-08-23 15:18:39.294166+00:00
1352;823;1.82772;11738476092129996599;2016-08-23 15:18:39.960953+00:00
1338;824;1.82227;12108317849477157539;2016-08-23 15:18:40.290771+00:00
1351;874;1.7859;16411680682772776532;2016-08-23 15:18:40.622653+00:00
1351;1011;1.56439;16346419153828182234;2016-08-23 15:18:41.618856+00:00
1363;1050;1.75161;16103929197439923632;2016-08-23 15:18:41.951033+00:00
1376;1074;1.49635;17221090475004184967;2016-08-23 15:18:42.283302+00:00
1401;1100;0.471396;12100881975658866308;2016-08-23 15:18:42.616657+00:00
1414;1086;1.47204;9347925313981773785;2016-08-23 15:18:42.947855+00:00
1413;1074;0.994243;15339913176182776451;2016-08-23 15:18:43.280553+00:00
1401;1062;1.20715;15543354993485251454;2016-08-23 15:18:43.612591+00:00
1363;1074;1.45369;13588194435958736888;2016-08-23 15:18:43.944411+00:00
1377;1175;0.559947;16234951100668952412;2016-08-23 15:18:45.274591+00:00
1438;1188;0.538499;10167111043002215335;2016-08-23 15:18:45.606697+00:00
1438;1176;0.435436;14717229578646011541;2016-08-23 15:18:45.939099+00:00
1450;1176;0.631845;17440517526454037202;2016-08-23 15:18:46.272985+00:00
1415;1187;0.863905;14504368577803768831;2016-08-23 15:18:46.935276+00:00
1389;1175;0.989287;9399617224706557565;2016-08-23 15:18:47.267692+00:00
1389;1162;1.37;15920391764340336884;2016-08-23 15:18:47.599837+00:00
1352;1187;1.02647;9382692828978990453;2016-08-23 15:18:47.932298+00:00
1326;1199;1.40715;13312002217610824402;2016-08-23 15:18:48.264425+00:00
1325;1212;1.78577;18150334039505604119;2016-08-23 15:18:48.596609+00:00
1325;1237;1.94971;15634207256522790501;2016-08-23 15:18:48.928550+00:00
1327;1262;1.66301;13715436283767958454;2016-08-23 15:18:49.260226+00:00
1327;1287;1.76142;10467037672704803069;2016-08-23 15:18:49.592626+00:00
1302;1299;1.6338;11124900607426502310;2016-08-23 15:18:49.924871+00:00
1314;1299;2.14302;17046705242828624825;2016-08-23 15:18:50.256850+00:00
1339;1299;1.82153;10537673427302602001;2016-08-23 15:18:51.585915+00:00
1313;1324;1.911;12325671981065458029;2016-08-23 15:18:51.918719+00:00
1300;1311;2.21303;16399896521668967922;2016-08-23 15:18:52.250416+00:00
1275;1311;2.21208;14830999377158837061;2016-08-23 15:18:52.584587+00:00
